customer_id,purchase_frequency,total_amount,recency,customer_lifetime,clv
C0100000111,6,882.97,80,281,882.97
C0100000199,3,597.0,73,191,597.0
C0100000343,6,700.94,24,308,700.94
C0100000375,4,223.98,65,289,223.98
C0100000392,32,626.12,25,327,626.12
C0100000444,22,827.24,45,319,827.24
C0100000462,3,118.98,49,115,118.98
C0100000480,4,371.97,40,264,371.97
C0100000482,5,222.97,23,318,222.97
C0100000528,2,116.99,152,89,116.99
C0100000586,44,563.59,23,309,563.59
C0100000610,36,366.6,8,346,366.6
C0100000619,51,654.89,11,349,654.89
C0100000660,1,79.0,257,0,79.0
C0100000689,2,428.0,45,123,428.0
C0100000726,48,1186.55,0,359,1186.55
C0100000784,7,790.91,15,348,790.91
C0100000789,3,777.0,40,183,777.0
C0100000915,1,49.0,137,0,49.0
C0100000920,4,381.0,6,331,381.0
C0100001005,3,64.92999999999999,66,151,64.92999999999999
C0100001084,4,236.99,114,175,236.99
C0100001115,4,447.94,19,265,447.94
C0100001116,6,942.97,0,356,942.97
C0100001139,4,339.49,83,190,339.49
C0100001156,2,528.0,24,335,528.0
C0100001244,3,339.93,26,247,339.93
C0100001267,14,1124.41,30,241,1124.41
C0100001316,22,668.3100000000001,27,330,668.3100000000001
C0100001405,2,153.99,21,53,153.99
C0100001467,3,328.98,181,29,328.98
C0100001520,2,368.99,181,171,368.99
C0100001540,4,263.98,68,284,263.98
C0100001573,2,153.0,53,172,153.0
C0100001656,2,42.940000000000005,142,89,42.940000000000005
C0100001714,2,398.0,110,116,398.0
C0100001809,2,658.0,73,162,658.0
C0100001841,3,253.98,60,239,253.98
C0100001872,4,487.98,106,160,487.98
C0100001892,1,119.99,359,0,119.99
C0100001916,5,371.98,27,272,371.98
C0100001935,1,89.0,204,0,89.0
C0100002002,4,957.99,36,308,957.99
C0100002068,4,174.97,212,116,174.97
C0100002071,1,89.0,97,0,89.0
C0100002140,4,501.99,5,310,501.99
C0100002206,4,312.98,52,298,312.98
C0100002442,4,427.98,112,245,427.98
C0100002445,19,1257.34,25,333,1257.34
C0100002492,22,982.8000000000001,11,350,982.8000000000001
C0100002536,3,246.99,81,236,246.99
C0100002542,3,172.43,58,200,172.43
C0100002616,1,219.0,188,0,219.0
C0100002666,6,370.96000000000004,22,334,370.96000000000004
C0100002691,2,388.0,174,171,388.0
C0100002737,2,558.0,114,216,558.0
C0100002799,5,308.96,39,294,308.96
C0100002862,2,338.95,75,141,338.95
C0100002909,2,248.0,78,71,248.0
C0100002989,2,948.0,238,124,948.0
C0100003019,3,1312.99,165,194,1312.99
C0100003070,4,414.98,178,172,414.98
C0100003104,2,398.0,60,242,398.0
C0100003173,3,247.98000000000002,91,187,247.98000000000002
C0100003203,2,303.0,19,260,303.0
C0100003292,2,378.0,87,272,378.0
C0100003293,4,341.99,8,299,341.99
C0100003346,4,491.0,23,331,491.0
C0100003524,1,124.0,29,0,124.0
C0100003602,4,341.98,59,173,341.98
C0100003650,2,378.0,133,46,378.0
C0100003651,1,119.0,126,0,119.0
C0100003688,4,336.0,54,191,336.0
C0100003692,3,467.99,89,243,467.99
C0100003753,1,124.0,329,0,124.0
C0100003760,1,99.0,149,0,99.0
C0100003813,4,190.48,14,343,190.48
C0100003814,6,716.97,24,292,716.97
C0100003903,2,348.0,81,181,348.0
C0100003973,2,848.0,52,189,848.0
C0100004050,2,67.48,28,213,67.48
C0100004078,2,1048.0,142,188,1048.0
C0100004146,3,193.94,48,293,193.94
C0100004164,4,438.97,29,303,438.97
C0100004171,2,12.98,135,68,12.98
C0100004238,1,349.0,7,0,349.0
C0100004264,5,459.99,39,294,459.99
C0100004341,3,222.95,160,117,222.95
C0100004423,2,378.0,152,170,378.0
C0100004435,3,80.97999999999999,86,247,80.97999999999999
C0100004471,4,210.97,42,285,210.97
C0100004518,3,317.95,110,125,317.95
C0100004531,3,103.97,12,292,103.97
C0100004535,2,438.0,178,184,438.0
C0100004545,6,1170.49,58,306,1170.49
C0100004559,5,1157.97,48,316,1157.97
C0100004652,3,287.99,85,140,287.99
C0100004726,4,218.97,244,113,218.97
C0100004805,2,63.99,118,22,63.99
C0100004808,1,59.99,178,0,59.99
C0100004832,1,84.99,97,0,84.99
C0100004870,4,229.98,59,261,229.98
C0100004958,9,444.90000000000003,0,364,444.90000000000003
C0100005019,4,283.99,147,181,283.99
C0100005070,3,96.98,70,232,96.98
C0100005075,4,121.98,86,236,121.98
C0100005091,3,103.49000000000001,149,181,103.49000000000001
C0100005107,2,273.0,35,172,273.0
C0100005168,2,628.0,174,138,628.0
C0100005169,25,695.27,9,354,695.27
C0100005246,22,681.81,4,353,681.81
C0100005251,4,284.98,228,98,284.98
